1,愛知県,undefined,371756,102.8%
2,大阪府,undefined,426504,102.3%
3,富山県,undefined,48442,101.8%
4,神奈川県,undefined,426358,101.3%
5,滋賀県,undefined,73562,101.1%
6,香川県,undefined,44342,100.9%
7,岐阜県,undefined,101755,100.1%
8,兵庫県,undefined,268336,99.9%
9,静岡県,undefined,168579,99.7%
10,長野県,undefined,98617,99.7%
11,石川県,undefined,56584,99.7%
12,東京都,undefined,544958,99.7%
13,千葉県,undefined,282236,99.6%
14,群馬県,undefined,95986,99.6%
15,岡山県,undefined,94232,99.5%
16,三重県,undefined,87588,99.0%
17,福井県,undefined,38137,98.6%
18,京都府,undefined,127727,97.7%
19,広島県,undefined,132900,97.6%
20,沖縄県,undefined,81426,97.5%
21,栃木県,undefined,90866,97.1%
22,茨城県,undefined,140282,97.1%
23,和歌山県,undefined,45537,96.9%
24,埼玉県,undefined,344743,96.8%
25,佐賀県,undefined,42372,96.7%
26,山口県,undefined,63004,96.4%
27,愛媛県,undefined,63228,96.3%
28,徳島県,undefined,33824,96.3%
29,奈良県,undefined,69444,95.8%
30,宮崎県,undefined,53125,95.6%
31,大分県,undefined,53473,95.4%
32,福岡県,undefined,244823,95.3%
33,山梨県,undefined,42617,94.7%
34,高知県,undefined,33227,94.7%
35,新潟県,undefined,106136,94.6%
36,熊本県,undefined,85644,94.5%
37,山形県,undefined,51204,93.3%
38,鳥取県,undefined,25943,93.1%
39,島根県,undefined,30642,93.1%
40,長崎県,undefined,65985,92.9%
41,北海道,undefined,236840,91.6%
42,青森県,undefined,61593,91.5%
43,鹿児島県,undefined,77730,91.5%
44,秋田県,undefined,43071,91.3%
45,福島県,undefined,91730,90.5%
46,宮城県,undefined,108271,90.2%
47,岩手県,undefined,57619,89.1%
